eiaid,p3_lvl_cost_per_kwh
5796.0,0.1188587825602563
5802.0,0.0802672497337341
5828.0,0.1312686491702234
5833.0,0.0759252733126878
5841.0,0.1002839528420924
5860.0,0.077235703793171
5862.0,0.1118039833972587
5875.0,0.0495706541483559
5896.0,0.2498794054580178
5905.0,0.1130820592343299
5915.0,0.04222355678907
5927.0,0.1515814119895225
5928.0,0.0567577805810365
5929.0,0.0939949586327837
5930.0,0.0694903751223656
5935.0,0.1248643858575462
5945.0,0.1131670310835838
5957.0,0.122578
5961.0,0.1632010006098294
5964.0,0.0988115143653275
5995.0,0.058703140179592
5997.0,0.1633617456002434
5998.0,0.112350765275526
6008.0,0.0802512041380451
