eiaid,offpeak_tou_cost_per_kwh,cost_per_kwh,state,customers
5701.0,0.1040640999999999,0.1040640999999999,TX,282153
5777.0,0.0628,0.0628,WI,4063
5860.0,0.1134766666666667,0.1134766666666667,MO,129017
5862.0,0.0493499999999999,0.0493499999999999,CO,11713
5964.0,0.08,0.08,FL,9689
5997.0,0.0973633333333333,0.0973633333333333,CO,8149
6022.0,0.06905,0.06905,OR,83081
6043.0,0.0613999999999999,0.0613999999999999,WI,3260
6424.0,0.0599999999999999,0.0599999999999999,WI,1314
6442.0,0.0526099999999999,0.0526099999999999,KY,22613
7140.0,0.0413179999999999,0.0413179999999999,GA,2173557
7294.0,0.1336666666666666,0.1336666666666666,CA,74783
7558.0,0.06225,0.06225,KY,14194
7563.0,0.0593699999999998,0.0593699999999998,CO,15335
7601.0,0.0801,0.0801,VT,221420
7801.0,0.0704,0.0704,FL,401793
7826.0,0.0308899999999999,0.0308899999999999,CO,3430
8179.0,0.067484,0.067484,IN,21622
8212.0,0.0341,0.0341,WI,6534
8287.0,0.2993433333333332,0.2993433333333332,HI,72494
8348.0,0.1296,0.1296,CA,4823
8447.0,0.0605479999999999,0.0605479999999999,IN,30883
8566.0,0.08183,0.08183,WY,11790
8773.0,0.0728999999999999,0.0728999999999999,CO,46572
9124.0,0.0534999999999999,0.0534999999999999,WI,1343
9191.0,0.080331,0.080331,ID,435376
9275.0,0.0546666666666666,0.0546666666666666,IA,7291
9324.0,0.029275,0.029275,IN,404798
9336.0,0.0738199999999999,0.0738199999999999,CO,141774
9417.0,0.0621666666666666,0.0621666666666666,IA,403160
9576.0,0.0742374999999999,0.0742374999999999,IN,23331
9690.0,0.062,0.062,WI,3536
9778.0,0.081562,0.081562,IN,24046
9936.0,0.0575,0.0575,WI,942
9999.0,0.0607799999999999,0.0607799999999999,IN,18492
10000.0,0.1045299999999999,0.1045299999999999,MO,251503
10056.0,0.0659999999999998,0.0659999999999998,WI,13353
10170.0,0.0680416666666666,0.0680416666666666,OK,18829
