state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
AR,Woodruff,1.74,0.24,0.18,0.13,0.17719962687917434
AR,Yell,0.96,0.19,0.14,0.13,0.14569073940388033
AZ,Apache,0.98,0.22,0.19,0.15,0.18328527055601027
AZ,Cochise,1.02,0.22,0.19,0.16,0.18715323543598633
AZ,Coconino,0.92,0.22,0.16,0.12,0.15521873852250384
AZ,Gila,0.98,0.22,0.19,0.13,0.1761063744376435
AZ,Graham,0.94,0.21,0.18,0.15,0.17666583099959912
AZ,Greenlee,0.93,0.19,0.16,0.12,0.1531460121456139
AZ,La Paz,1.75,0.23,0.17,0.12,0.1673388852895707
AZ,Maricopa,1.39,0.22,0.18,0.13,0.17333436764251287
AZ,Mohave,1.57,0.22,0.19,0.15,0.1873933936627025
AZ,Navajo,0.98,0.22,0.19,0.15,0.18328527055601027
AZ,Pima,1.2,0.23,0.19,0.15,0.18553123159773277
AZ,Pinal,1.34,0.23,0.21,0.15,0.1977596488870187
AZ,Santa Cruz,1.3,0.26,0.2,0.16,0.19758613149924173
AZ,Yavapai,1.25,0.22,0.17,0.13,0.16673275456148268
AZ,Yuma,0.95,0.22,0.19,0.16,0.1866658309995991
CA,Alameda,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Alpine,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Amador,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Butte,1.03,0.3,0.25,0.24,0.25541222258308766
CA,Calaveras,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Colusa,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Contra Costa,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Del Norte,0.95,0.19,0.08,0.05,0.08314470047568061
CA,El Dorado,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Fresno,2.11,0.45,0.2,0.28,0.25986772585038576
CA,Glenn,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Humboldt,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Imperial,3.03,0.44,0.2,0.23,0.2476122539053381
CA,Inyo,2.02,0.33,0.19,0.19,0.21273980393434355
CA,Kern,2.11,0.45,0.2,0.28,0.25986772585038576
CA,Kings,2.11,0.45,0.2,0.28,0.25986772585038576
CA,Lake,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Lassen,1.23,0.37,0.23,0.27,0.2613183721396287
CA,Los Angeles,1.6,0.3,0.23,0.21,0.2373591346853219
CA,Madera,2.11,0.45,0.2,0.28,0.25986772585038576
CA,Marin,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Mariposa,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Mendocino,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Merced,1.19,0.38,0.2,0.27,0.2448735612214315
CA,Modoc,1.07,0.32,0.08,0.19,0.14351606462234123
CA,Mono,2.02,0.33,0.19,0.19,0.21273980393434355
