state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
TX,Marion,2.33,0.28,0.24,0.17,0.23228284158158535
TX,Martin,3.34,0.41,0.34,0.21,0.3192247664816069
TX,Mason,3.37,0.42,0.33,0.2,0.310931520357125
TX,Matagorda,2.59,0.38,0.38,0.18,0.3235990931651285
TX,Maverick,2.57,0.39,0.37,0.24,0.34008383742893955
TX,McCulloch,3.37,0.42,0.34,0.19,0.31296887650619737
TX,McLennan,2.39,0.33,0.33,0.19,0.2940913434422563
TX,McMullen,2.44,0.38,0.35,0.25,0.33080037887667246
TX,Medina,2.42,0.36,0.31,0.23,0.29954677046016104
TX,Menard,3.37,0.42,0.34,0.22,0.32373722068374755
TX,Midland,3.79,0.44,0.33,0.19,0.3116947359709903
TX,Milam,3.02,0.39,0.36,0.22,0.33041145133623484
TX,Mills,2.43,0.37,0.32,0.23,0.30595732240097767
TX,Mitchell,3.79,0.46,0.37,0.23,0.3499879820954722
TX,Montague,3.32,0.43,0.37,0.19,0.3302152616323364
TX,Montgomery,2.52,0.36,0.32,0.23,0.3058698667203985
TX,Moore,3.15,0.39,0.29,0.2,0.28475010542765417
TX,Morris,2.33,0.28,0.24,0.17,0.23228284158158535
TX,Motley,3.37,0.42,0.3,0.19,0.2904616596731744
TX,Nacogdoches,2.4,0.34,0.29,0.2,0.27595732240097764
TX,Navarro,3.65,0.45,0.36,0.2,0.33190390630952915
TX,Newton,2.38,0.33,0.3,0.22,0.28790964578984113
TX,Nolan,3.65,0.45,0.36,0.2,0.33190390630952915
TX,Nueces,2.55,0.39,0.34,0.22,0.31588527027540925
TX,Ochiltree,3.17,0.38,0.28,0.19,0.27495899304324867
TX,Oldham,2.38,0.34,0.29,0.21,0.27940751204976466
TX,Orange,2.85,0.38,0.33,0.21,0.30804377563655255
TX,Palo Pinto,3.0,0.37,0.36,0.18,0.3144861636343795
TX,Panola,2.57,0.33,0.28,0.2,0.27080009615372813
TX,Parker,2.67,0.36,0.24,0.16,0.23677373471804145
TX,Parmer,2.46,0.33,0.28,0.19,0.26644472683736486
TX,Pecos,3.21,0.42,0.35,0.2,0.3210710614904657
TX,Polk,2.4,0.36,0.33,0.24,0.3142505685254595
TX,Potter,3.15,0.39,0.29,0.2,0.28475010542765417
TX,Presidio,2.92,0.4,0.34,0.23,0.3227651174542877
TX,Rains,2.31,0.24,0.29,0.15,0.2502422339846501
TX,Randall,3.53,0.41,0.3,0.2,0.2944510564881659
TX,Reagan,3.37,0.42,0.35,0.2,0.3221851287736365
TX,Real,2.54,0.37,0.31,0.23,0.3010964394499018
TX,Red River,3.03,0.39,0.36,0.2,0.32330218442306624
TX,Reeves,3.37,0.42,0.35,0.2,0.3221851287736365
TX,Refugio,2.55,0.39,0.37,0.23,0.3363551309593598
TX,Roberts,3.17,0.38,0.28,0.19,0.27495899304324867
TX,Robertson,2.42,0.38,0.36,0.23,0.3291090285561651
TX,Rockwall,2.98,0.34,0.28,0.16,0.26001121985748243
TX,Runnels,2.87,0.37,0.31,0.2,0.2926258590438913
TX,Rusk,2.39,0.33,0.29,0.2,0.27517357466841674
TX,Sabine,2.38,0.34,0.3,0.22,0.2886237643172038
TX,San Augustine,2.38,0.33,0.29,0.22,0.28228284158158534
TX,San Jacinto,2.39,0.35,0.34,0.23,0.315504176941971
TX,San Patricio,2.55,0.39,0.37,0.23,0.3363551309593598
TX,San Saba,2.36,0.32,0.3,0.21,0.28346682079289864
TX,Schleicher,3.21,0.42,0.34,0.23,0.32621260145976017
TX,Scurry,3.79,0.46,0.37,0.23,0.3499879820954722
TX,Shackelford,3.51,0.43,0.35,0.22,0.3310529522921404
TX,Shelby,2.38,0.34,0.29,0.22,0.28299696010894804
TX,Sherman,3.15,0.39,0.29,0.2,0.28475010542765417
TX,Smith,2.4,0.34,0.29,0.19,0.2723678743417942
TX,Somervell,3.65,0.45,0.37,0.19,0.33394126245860156
TX,Starr,2.53,0.36,0.37,0.23,0.3340735169668754
TX,Stephens,3.37,0.42,0.35,0.2,0.3221851287736365
TX,Sterling,3.51,0.43,0.35,0.2,0.32387405617377363
TX,Stonewall,3.37,0.42,0.34,0.19,0.31296887650619737
TX,Sutton,3.21,0.42,0.34,0.23,0.32621260145976017
TX,Swisher,2.77,0.37,0.3,0.2,0.28630276278365385
TX,Tarrant,3.0,0.37,0.29,0.16,0.2679196380582226
TX,Taylor,2.87,0.37,0.31,0.2,0.2926258590438913
TX,Terrell,2.48,0.38,0.36,0.23,0.3295268037873541
TX,Terry,3.34,0.41,0.31,0.21,0.30234435385683966
TX,Throckmorton,3.37,0.42,0.34,0.19,0.31296887650619737
TX,Titus,2.85,0.38,0.38,0.18,0.3254094525002811
TX,Tom Green,3.21,0.42,0.34,0.2,0.31544425728221
TX,Travis,3.71,0.45,0.36,0.23,0.3430900257182684
TX,Trinity,2.88,0.35,0.36,0.22,0.3265801683540096
TX,Tyler,2.39,0.35,0.34,0.23,0.315504176941971
TX,Upshur,2.33,0.28,0.24,0.17,0.23228284158158535
TX,Upton,3.37,0.42,0.35,0.2,0.3221851287736365
TX,Uvalde,2.48,0.38,0.34,0.23,0.3182731953708427
TX,Val Verde,2.65,0.4,0.35,0.26,0.3372802772997429
TX,Van Zandt,2.41,0.35,0.36,0.19,0.31253925153214523
TX,Victoria,2.52,0.36,0.35,0.21,0.3155713832267989
TX,Walker,2.88,0.35,0.36,0.23,0.330169616413193
TX,Waller,2.52,0.36,0.32,0.22,0.30228041866121513
TX,Ward,3.65,0.45,0.37,0.19,0.33394126245860156
TX,Washington,2.31,0.26,0.29,0.18,0.2624388152169257
TX,Webb,2.57,0.39,0.37,0.24,0.34008383742893955
TX,Wharton,2.59,0.38,0.35,0.19,0.3103081285995447
TX,Wheeler,3.17,0.38,0.28,0.19,0.27495899304324867
TX,Wichita,3.6,0.44,0.34,0.2,0.3195880333396642
TX,Wilbarger,3.54,0.43,0.29,0.17,0.2795537743622835
TX,Willacy,2.53,0.36,0.37,0.23,0.3340735169668754
TX,Williamson,3.65,0.45,0.34,0.23,0.3314186420705679
TX,Wilson,2.53,0.36,0.35,0.22,0.3192304604911805
TX,Winkler,3.65,0.45,0.37,0.19,0.33394126245860156
TX,Wise,2.71,0.39,0.34,0.2,0.3098204414402132
TX,Wood,2.33,0.28,0.24,0.17,0.23228284158158535
TX,Yoakum,3.02,0.38,0.3,0.22,0.2959365075593377
TX,Young,3.65,0.45,0.37,0.19,0.33394126245860156
TX,Zapata,2.65,0.4,0.41,0.22,0.35668331031254374
TX,Zavala,2.57,0.39,0.37,0.24,0.34008383742893955
UT,Beaver,2.34,0.31,0.23,0.16,0.2252785741014325
UT,Box Elder,2.35,0.33,0.28,0.2,0.26926825363936835
UT,Cache,3.2,0.39,0.32,0.22,0.309157560196779
