state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
IN,Clark,1.7,0.28,0.22,0.18,0.22023204129677232
IN,Clay,1.7,0.29,0.31,0.22,0.28594518993517026
IN,Clinton,1.74,0.28,0.23,0.16,0.218958466207454
IN,Crawford,1.69,0.28,0.21,0.17,0.21094615982413503
IN,Daviess,1.62,0.25,0.17,0.12,0.16786194267671983
IN,DeKalb,1.76,0.32,0.25,0.2,0.24756559938054618
IN,Dearborn,1.7,0.28,0.2,0.17,0.20538898482107748
IN,Decatur,1.71,0.28,0.23,0.19,0.22951792276940966
IN,Delaware,1.68,0.27,0.19,0.15,0.19172990755669592
IN,Dubois,1.68,0.25,0.22,0.17,0.2143609792451045
IN,Elkhart,1.66,0.25,0.27,0.21,0.2567135341127204
IN,Fayette,1.71,0.28,0.26,0.19,0.24639833539417685
IN,Floyd,1.69,0.28,0.22,0.18,0.22016241209157417
IN,Fountain,1.68,0.28,0.15,0.11,0.1555790170143021
IN,Franklin,1.71,0.28,0.24,0.18,0.231555278918482
IN,Fulton,1.69,0.29,0.29,0.22,0.2746219523134606
IN,Gibson,1.99,0.31,0.27,0.21,0.2632960090484363
IN,Grant,1.66,0.27,0.2,0.16,0.20080690141373866
IN,Greene,1.67,0.29,0.23,0.19,0.22995352447597964
IN,Hamilton,1.64,0.25,0.19,0.15,0.1900231536811778
IN,Hancock,1.7,0.28,0.31,0.2,0.27805217528944076
IN,Harrison,1.69,0.28,0.21,0.17,0.21094615982413503
IN,Hendricks,1.66,0.28,0.22,0.19,0.22354297253516303
IN,Henry,1.61,0.25,0.2,0.16,0.1990305183330224
IN,Howard,1.68,0.28,0.25,0.18,0.2369731955111432
IN,Huntington,1.67,0.29,0.22,0.18,0.2207372722085405
IN,Jackson,1.7,0.28,0.23,0.19,0.22944829356421148
IN,Jasper,1.8,0.28,0.3,0.21,0.27671111119235015
IN,Jay,1.65,0.24,0.19,0.15,0.1893786643590133
IN,Jefferson,1.72,0.28,0.23,0.19,0.2295875519746078
IN,Jennings,1.72,0.28,0.23,0.19,0.2295875519746078
IN,Johnson,1.71,0.28,0.31,0.2,0.2781218044946389
IN,Knox,1.68,0.29,0.23,0.19,0.23002315368117782
IN,Kosciusko,1.69,0.29,0.24,0.2,0.23930903515381513
IN,LaPorte,1.7,0.28,0.24,0.2,0.2386645458316506
IN,Lagrange,1.7,0.28,0.27,0.21,0.2591344065156012
IN,Lake,1.81,0.39,0.34,0.24,0.31791160520911116
IN,Lawrence,1.7,0.29,0.24,0.19,0.2357892162998299
IN,Madison,1.62,0.25,0.19,0.15,0.18988389527078148
IN,Marion,1.68,0.29,0.23,0.19,0.23002315368117782
IN,Marshall,1.66,0.27,0.23,0.19,0.2284556582160561
IN,Martin,1.67,0.3,0.26,0.23,0.2619058478648431
IN,Miami,1.68,0.28,0.23,0.19,0.22930903515381512
IN,Monroe,1.72,0.28,0.28,0.21,0.26490046913425325
IN,Montgomery,1.67,0.27,0.2,0.17,0.20446597867812025
IN,Morgan,1.71,0.28,0.3,0.21,0.27608444834556656
IN,Newton,1.81,0.39,0.34,0.24,0.31791160520911116
IN,Noble,1.7,0.28,0.22,0.2,0.22741093741513912
IN,Ohio,1.68,0.28,0.17,0.17,0.18836931378591393
IN,Orange,1.66,0.28,0.23,0.19,0.2291697767434188
IN,Owen,1.7,0.29,0.31,0.22,0.28594518993517026
IN,Parke,1.65,0.26,0.18,0.15,0.18518009720548295
IN,Perry,1.63,0.25,0.2,0.16,0.19916977674341876
IN,Pike,1.99,0.31,0.27,0.21,0.2632960090484363
IN,Porter,1.81,0.39,0.34,0.24,0.31791160520911116
IN,Posey,1.99,0.31,0.27,0.21,0.2632960090484363
IN,Pulaski,1.75,0.27,0.28,0.2,0.26080579016330174
IN,Putnam,1.7,0.29,0.3,0.21,0.2767289376677311
IN,Randolph,1.69,0.27,0.2,0.16,0.2010157890293332
IN,Ripley,1.72,0.29,0.23,0.19,0.2303016705019705
IN,Rush,2.02,0.3,0.31,0.2,0.2817085469105077
IN,Scott,1.7,0.28,0.22,0.18,0.22023204129677232
IN,Shelby,1.7,0.28,0.25,0.17,0.23352300586235616
IN,Spencer,1.67,0.26,0.21,0.17,0.20937866435901328
IN,St Joseph,1.63,0.24,0.24,0.19,0.2317312192266292
IN,Starke,1.75,0.33,0.29,0.22,0.27789620165410045
IN,Steuben,1.76,0.32,0.25,0.2,0.24756559938054618
IN,Sullivan,1.68,0.29,0.23,0.19,0.23002315368117782
IN,Switzerland,1.7,0.28,0.23,0.2,0.23303774162339486
IN,Tippecanoe,1.75,0.29,0.27,0.21,0.2601966710689548
IN,Tipton,1.6,0.22,0.17,0.14,0.17275922480260217
IN,Union,1.7,0.28,0.21,0.18,0.2146052370885166
IN,Vanderburgh,2.29,0.33,0.27,0.21,0.2668131222591069
IN,Vermillion,1.7,0.29,0.24,0.2,0.23937866435901328
IN,Vigo,1.68,0.29,0.23,0.19,0.23002315368117782
IN,Wabash,1.7,0.28,0.19,0.15,0.19258328449445494
IN,Warren,1.7,0.29,0.24,0.2,0.23937866435901328
IN,Warrick,1.68,0.29,0.23,0.18,0.22643370562199444
IN,Washington,1.7,0.28,0.22,0.18,0.22023204129677232
IN,Wayne,1.69,0.27,0.21,0.18,0.21382148935595574
IN,Wells,1.65,0.25,0.19,0.15,0.190092782886376
IN,White,1.72,0.28,0.24,0.2,0.23880380424204695
IN,Whitley,1.67,0.27,0.21,0.17,0.21009278288637598
KS,Allen,1.71,0.28,0.22,0.16,0.21312277438360372
KS,Anderson,1.8,0.32,0.26,0.2,0.25347092040959457
KS,Atchison,1.66,0.27,0.21,0.17,0.2100231536811778
KS,Barber,1.59,0.24,0.2,0.16,0.19817714139526338
KS,Barton,1.65,0.28,0.23,0.19,0.2291001475382206
KS,Bourbon,1.84,0.31,0.25,0.2,0.24740851449476886
KS,Brown,1.65,0.26,0.21,0.17,0.20923940594861695
KS,Butler,1.7,0.27,0.24,0.2,0.2379504273042879
KS,Chase,1.72,0.27,0.21,0.17,0.21044092891236685
KS,Chautauqua,1.7,0.3,0.25,0.22,0.2528984832129985
KS,Cherokee,1.75,0.3,0.24,0.18,0.2332620327940001
KS,Cheyenne,1.68,0.28,0.23,0.19,0.22930903515381512
KS,Clark,1.8,0.3,0.25,0.2,0.24641587914661345
KS,Clay,1.72,0.28,0.23,0.17,0.22240865585624103
KS,Cloud,1.72,0.28,0.23,0.19,0.2295875519746078
KS,Coffey,1.84,0.31,0.28,0.22,0.27146782323790286
KS,Comanche,1.69,0.28,0.3,0.22,0.27953463799435363
KS,Cowley,1.7,0.27,0.24,0.2,0.2379504273042879
KS,Crawford,1.69,0.33,0.21,0.18,0.2181062005201319
KS,Decatur,1.66,0.3,0.23,0.19,0.23059801379814418
KS,Dickinson,1.71,0.27,0.26,0.18,0.24209476880763076
KS,Doniphan,1.69,0.27,0.21,0.17,0.21023204129677234
KS,Douglas,1.72,0.29,0.25,0.21,0.24873417503684875
KS,Edwards,1.64,0.28,0.24,0.21,0.24183621865964494
KS,Elk,1.71,0.28,0.23,0.2,0.23310737082859306
KS,Ellis,1.65,0.28,0.23,0.19,0.2291001475382206
KS,Ellsworth,1.68,0.28,0.23,0.19,0.22930903515381512
KS,Finney,1.66,0.27,0.22,0.19,0.22282885400780034
KS,Ford,1.63,0.28,0.24,0.21,0.24176658945444676
