State,County,p3_lvl_cost_per_kwh
FL,Bay,0.12467562321918167
FL,Bradford,0.1777561238722141
FL,Brevard,0.12885382368601317
FL,Broward,0.1777561238722141
FL,Calhoun,0.14646178532915305
FL,Charlotte,0.1777561238722141
FL,Citrus,0.12264419043125015
FL,Clay,0.1777561238722141
FL,Collier,0.1777561238722141
FL,Columbia,0.15121587354569788
FL,DeSoto,0.14796238737348752
FL,Dixie,0.12467562321918167
FL,Duval,0.1421331712611821
FL,Escambia,0.1357933937804245
FL,Flagler,0.15121587354569788
FL,Franklin,0.12467562321918167
FL,Gadsden,0.091225273312688
FL,Gilchrist,0.1310615744094276
FL,Glades,0.10947946717452248
FL,Gulf,0.15399858893804683
FL,Hamilton,0.12467562321918167
FL,Hardee,0.1214221370469713
FL,Hendry,0.10947946717452248
FL,Hernando,0.12264419043125015
FL,Highlands,0.1214221370469713
FL,Hillsborough,0.12467562321918167
FL,Holmes,0.1006982363634168
FL,Indian River,0.11816865087476093
FL,Jackson,0.10960201600139408
FL,Jefferson,0.1075131942473539
FL,Lafayette,0.1310615744094276
FL,Lake,0.12467562321918167
FL,Lee,0.1777561238722141
FL,Leon,0.12443781588282549
FL,Levy,0.12264419043125015
FL,Liberty,0.11690101227393168
FL,Madison,0.1075131942473539
FL,Manatee,0.14796238737348752
FL,Marion,0.12467562321918167
FL,Martin,0.1777561238722141
FL,Miami Dade,0.14710686781003615
FL,Monroe,0.15579800116864007
FL,Nassau,0.10960201600139408
FL,Okaloosa,0.1006982363634168
FL,Okeechobee,0.14361779552336829
FL,Orange,0.1475448140058331
FL,Osceola,0.13303202415284468
FL,Palm Beach,0.14876719882873238
FL,Pasco,0.12467562321918167
FL,Pinellas,0.13578166212210177
FL,Polk,0.11816865087476093
FL,Putnam,0.1777561238722141
FL,Santa Rosa,0.1357933937804245
FL,Sarasota,0.14796238737348752
FL,Seminole,0.15121587354569788
FL,St Johns,0.1421331712611821
FL,St Lucie,0.1609029719551624
FL,Sumter,0.12846908680243907
FL,Suwannee,0.15121587354569788
FL,Taylor,0.1075131942473539
FL,Union,0.1777561238722141
FL,Volusia,0.12467562321918167
FL,Wakulla,0.12443781588282549
FL,Walton,0.1420098955101644
FL,Washington,0.1420098955101644
GA,Appling,0.09563717492579987
GA,Atkinson,0.09563717492579987
GA,Bacon,0.09563717492579987
GA,Baker,0.09563717492579987
GA,Baldwin,0.11586302870704408
GA,Banks,0.09563717492579987
GA,Barrow,0.09563717492579987
GA,Bartow,0.0695716962352368
GA,Ben Hill,0.12026724973373393
GA,Berrien,0.07247705453156827
GA,Bibb,0.11586302870704408
GA,Bleckley,0.1020540610570437
GA,Brantley,0.1080661432587711
GA,Brooks,0.06783976703403567
GA,Bryan,0.11880157228494398
GA,Bulloch,0.10212335385277026
GA,Burke,0.08582735097831165
GA,Butts,0.10646675326533324
GA,Calhoun,0.09563717492579987
GA,Camden,0.1080661432587711
GA,Candler,0.10212335385277026
GA,Carroll,0.09563717492579987
GA,Catoosa,0.20679771576626527
GA,Charlton,0.09196981370863858
GA,Chatham,0.1354797907171177
GA,Chattahoochee,0.09091117808660593
GA,Chattooga,0.09563717492579987
GA,Cherokee,0.06765685745748737
GA,Clarke,0.09563717492579987
GA,Clay,0.09563717492579987
GA,Clayton,0.05980510739362393
GA,Clinch,0.07587348415850605
GA,Cobb,0.08703587166682661
GA,Coffee,0.0732240463488982
GA,Colquitt,0.11680986353764172
GA,Columbia,0.09262240000708348
GA,Cook,0.053547936344416264
GA,Coweta,0.08570179268571912
GA,Crawford,0.09563717492579987
GA,Crisp,0.09563717492579987
GA,Dade,0.20679771576626527
GA,Dawson,0.06765685745748737
GA,DeKalb,0.09563717492579987
GA,Decatur,0.12396343947766941
GA,Dodge,0.10569754417190436
GA,Dooly,0.09563717492579987
GA,Dougherty,0.08317473258292343
GA,Douglas,0.09563717492579987
GA,Early,0.11750009907262056
GA,Echols,0.07247705453156827
GA,Effingham,0.09057782790115504
GA,Elbert,0.09030281158411546
GA,Emanuel,0.10212335385277026
GA,Evans,0.11880157228494398
GA,Fannin,0.12450687983057394
GA,Fayette,0.09563717492579987
GA,Floyd,0.09563717492579987
GA,Forsyth,0.06765685745748737
GA,Franklin,0.09563717492579987
GA,Fulton,0.05980510739362393
GA,Gilmer,0.15533694298191214
GA,Glascock,0.09262240000708348
GA,Glynn,0.1080661432587711
GA,Gordon,0.0685741456814016
GA,Grady,0.0888645176479321
GA,Greene,0.09563717492579987
GA,Gwinnett,0.06574201867973793
GA,Habersham,0.09563717492579987
GA,Hall,0.06381859399164472
GA,Hancock,0.09563717492579987
GA,Haralson,0.09563717492579987
GA,Harris,0.09563717492579987
GA,Hart,0.09563717492579987
GA,Heard,0.09563717492579987
GA,Henry,0.059802553696811825
GA,Houston,0.09563717492579987
GA,Irwin,0.09563717492579987
GA,Jackson,0.09563717492579987
GA,Jasper,0.11291961493128115
GA,Jeff Davis,0.09563717492579987
GA,Jefferson,0.09262240000708348
GA,Jenkins,0.09262240000708348
GA,Johnson,0.11004518906593808
GA,Jones,0.12967199635704446
GA,Lamar,0.10048698440222886
GA,Lanier,0.07247705453156827
GA,Laurens,0.10934102728676502
GA,Lee,0.08317473258292343
GA,Liberty,0.1354797907171177
GA,Lincoln,0.09563717492579987
GA,Long,0.1354797907171177
GA,Lowndes,0.07247705453156827
GA,Lumpkin,0.06765685745748737
GA,Macon,0.09563717492579987
GA,Madison,0.09563717492579987
GA,Marion,0.09091117808660593
GA,McDuffie,0.09262240000708348
GA,McIntosh,0.09563717492579987
GA,Meriwether,0.09563717492579987
GA,Miller,0.14998926563772702
GA,Mitchell,0.11125205025913222
GA,Monroe,0.09563717492579987
GA,Montgomery,0.11840450270577885
GA,Morgan,0.12967199635704446
GA,Murray,0.0695716962352368
GA,Muscogee,0.09563717492579987
GA,Newton,0.4080269894467135
GA,Oconee,0.09563717492579987
GA,Oglethorpe,0.09563717492579987
GA,Paulding,0.09563717492579987
GA,Peach,0.09563717492579987
GA,Pickens,0.0695716962352368
GA,Pierce,0.09563717492579987
GA,Pike,0.09563717492579987
GA,Polk,0.09563717492579987
GA,Pulaski,0.09563717492579987
GA,Putnam,0.12967199635704446
GA,Quitman,0.09091117808660593
GA,Rabun,0.09685296815888024
GA,Randolph,0.09091117808660593
GA,Richmond,0.08349210332140547
GA,Rockdale,0.09563717492579987
GA,Schley,0.10164110454931688
GA,Screven,0.08126220263547265
GA,Seminole,0.14998926563772702
GA,Spalding,0.09563717492579987
GA,Stephens,0.09563717492579987
GA,Stewart,0.09091117808660593
GA,Sumter,0.09091117808660593
GA,Talbot,0.09563717492579987
GA,Taliaferro,0.09563717492579987
GA,Tattnall,0.12746797812479266
GA,Taylor,0.09563717492579987
GA,Telfair,0.10934102728676502
GA,Terrell,0.09091117808660593
GA,Thomas,0.06466895608170826
GA,Tift,0.053547936344416264
GA,Toombs,0.13147388442095517
GA,Towns,0.2411021897285875
GA,Treutlen,0.12746797812479266
GA,Troup,0.14645054662537552
GA,Turner,0.09563717492579987
GA,Twiggs,0.11586302870704408
GA,Union,0.2411021897285875
GA,Upson,0.09563717492579987
GA,Walker,0.10136556544692038
GA,Walton,0.13195421889999706
GA,Ware,0.09196981370863858
GA,Warren,0.09262240000708348
GA,Washington,0.07344432088597269
GA,Wayne,0.1080661432587711
GA,Webster,0.09091117808660593
GA,Wheeler,0.10934102728676502
GA,White,0.09563717492579987
GA,Whitfield,0.09563717492579987
GA,Wilcox,0.09563717492579987
GA,Wilkes,0.1070000000000003
GA,Wilkinson,0.11586302870704408
GA,Worth,0.07834031868304112
HI,Hawaii,0.09563717492579987
HI,Honolulu,0.3509764842602656
HI,Kalawao,0.4706838632062864
HI,Kauai,0.4641796517053541
HI,Maui,0.4706838632062864
IA,Adair,0.07216694209633136
IA,Adams,0.09075841010728126
IA,Allamakee,0.13612896863196786
IA,Appanoose,0.09075841010728126
IA,Audubon,0.05357547408538145
IA,Benton,0.09075841010728126
IA,Black Hawk,0.06660153781645248
IA,Boone,0.10553516878406724
IA,Bremer,0.09075841010728126
IA,Buchanan,0.08752610258910618
IA,Buena Vista,0.06603482484432666
IA,Butler,0.07252851459347519
IA,Calhoun,0.07955532143472435
IA,Carroll,0.08903799390812041
IA,Cass,0.0601557787676338
IA,Cedar,0.1201719141224602
IA,Cerro Gordo,0.07856062287313823
IA,Cherokee,0.07551083847563467
IA,Chickasaw,0.09825841783615803
IA,Clarke,0.09075841010728126
IA,Clay,0.06938107088629104
IA,Clayton,0.09008513860162609
IA,Clinton,0.0971971756048669
IA,Crawford,0.0929292400870824
IA,Dallas,0.07216694209633136
