entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
"Central Electric Coop, Inc - (SD)",SD,6382,"107,990","13,392.90",12.4,3236
"Charles Mix Electric Assn, Inc",SD,2225,"31,530","4,317.00",13.69,3315
"Cherry-Todd Electric Coop, Inc",SD,4366,"62,939","7,312.50",11.62,3435
City of Beresford,SD,929,"9,279","1,283.00",13.83,1601
City of Brookings - (SD),SD,9399,"94,138","9,679.00",10.28,2285
City of Flandreau,SD,1061,"10,013","1,095.30",10.94,6390
City of Fort Pierre - (SD),SD,1038,"12,372","1,368.00",11.06,6615
City of Madison - (SD),SD,2853,"34,775","4,085.00",11.75,11475
City of Miller - (SD),SD,750,"11,217","1,075.00",9.58,12580
City of Pierre - (SD),SD,6180,"67,108","6,748.90",10.06,15040
City of Sioux Falls - (SD),SD,1781,"9,447","1,156.00",12.24,17265
City of Vermillion - (SD),SD,4151,"30,685","3,448.00",11.24,19788
City of Volga - (SD),SD,945,"10,202","1,248.00",12.23,19896
Clay-Union Electric Corp,SD,3141,"49,472","5,648.00",11.42,3716
"Codington-Clark Elec Coop, Inc",SD,3046,"76,097","7,294.00",9.59,3850
Dakota Energy Coop Inc,SD,3257,"57,794","7,820.90",13.53,4720
"Douglas Electric Coop, Inc",SD,721,"17,046","2,109.00",12.37,5328
"FEM Electric Assn, Inc",SD,1853,"32,569","4,109.10",12.62,6272
"Grand Electric Coop, Inc",SD,4588,"49,358","5,889.40",11.93,7484
H-D Electric Coop Inc,SD,2796,"58,976","6,642.00",11.26,7870
"LaCreek Electric Assn, Inc",SD,5674,"69,395","7,932.20",11.43,10558
"Lake Region Electric Assn, Inc - (SD)",SD,3309,"54,488","6,788.00",12.46,10632
MidAmerican Energy Co,SD,4044,"55,419","4,449.80",8.03,12341
Montana-Dakota Utilities Co,SD,6512,"67,633","7,319.00",10.82,12199
Moreau-Grand Electric Coop Inc,SD,5984,"56,760","7,810.00",13.76,12915
Nebraska Public Power District,SD,1112,"17,694","1,681.00",9.5,13337
NorthWestern Energy - (SD),SD,50248,"545,647","60,246.00",11.04,13809
"Northern Electric Coop, Inc",SD,5336,"134,596","13,209.80",9.81,13750
Northern States Power Co - Minnesota,SD,80991,"733,403","89,554.50",12.21,13781
Oahe Electric Coop Inc,SD,2324,"39,936","4,028.60",10.09,13853
Otter Tail Power Co,SD,8736,"114,126","10,667.10",9.35,14232
Rosebud Electric Coop Inc,SD,4708,"62,820","6,344.00",10.1,16286
Sioux Valley SW Elec Coop,SD,18605,"291,461","32,491.80",11.15,17267
Southeastern Electric Coop Inc - (SD),SD,14996,"233,123","25,668.90",11.01,19293
Town of Pickstown - (SD),SD,134,"1,665",161.6,9.71,58139
"Traverse Electric Coop, Inc",SD,1016,"19,454","2,239.00",11.51,19060
Union County Electric Coop Inc,SD,1311,"22,207","3,012.00",13.56,19493
Watertown Municipal Utilities,SD,10470,"112,041","10,014.00",8.94,20187
West Central Electric Coop Inc - (SD),SD,5545,"65,683","9,276.00",14.12,20368
West River Electric Assn Inc,SD,15030,"164,399","21,498.00",13.08,20401
Whetstone Valley Elec Coop Inc,SD,3048,"56,566","7,023.50",12.42,20422
Winner Municipal Utility,SD,1447,"18,392","2,159.90",11.74,20823
Appalachian Electric Coop,TN,39763,"573,078","66,123.00",11.54,727
Athens Utility Board,TN,10903,"146,564","15,008.00",10.24,947
Benton County,TN,8505,"104,219","13,386.00",12.84,1578
Bolivar Energy Authority,TN,8714,"119,997","14,830.00",12.36,1936
"Caney Fork Electric Coop, Inc",TN,27174,"366,460","40,546.00",11.06,2960
Carroll County - (TN),TN,12179,"169,469","17,904.00",10.56,3075
"Chickasaw Electric Coop, Inc",TN,16740,"278,398","27,453.00",9.86,40166
City of Alcoa Utilities,TN,25382,"360,955","38,559.00",10.68,577
City of Bristol - (TN),TN,28893,"423,553","41,508.00",9.8,2247
City of Brownsville,TN,4187,"52,821","5,183.00",9.81,2411
City of Chattanooga - (TN),TN,145944,"1,979,891","215,695.00",10.89,3408
City of Clarksville - (TN),TN,61072,"823,476","92,343.00",11.21,3704
City of Cleveland - (TN),TN,26844,"355,413","38,925.00",10.95,3758
City of Clinton - (TN),TN,25339,"347,611","39,846.00",11.46,3812
City of Cookeville - (TN),TN,14173,"163,507","16,884.00",10.33,4294
City of Covington - (TN),TN,3720,"46,868","4,717.00",10.06,4437
City of Dayton - (TN),TN,8597,"107,080","11,767.00",10.99,4920
City of Dickson,TN,27764,"405,751","41,914.00",10.33,5148
City of Dyersburg,TN,9416,"128,359","13,386.00",10.43,5509
City of Elizabethton - (TN),TN,22957,"301,971","32,809.00",10.86,5763
City of Etowah,TN,4348,"56,238","6,978.00",12.41,6008
City of Fayetteville,TN,15995,"227,164","25,333.00",11.15,6234
City of Gallatin - (TN),TN,15669,"213,415","21,099.00",9.89,6923
City of Greeneville - (TN),TN,30939,"435,454","45,121.00",10.36,7625
City of Harriman - (TN),TN,9097,"119,433","14,062.00",11.77,8147
City of Humboldt,TN,3484,"42,355","4,364.00",10.3,9023
City of Jackson - (TN),TN,29640,"382,170","41,973.00",10.98,9612
City of Jellico,TN,1829,"22,252","2,348.00",10.55,9697
City of LaFollette,TN,19092,"235,666","28,168.00",11.95,10579
City of Lawrenceburg,TN,17107,"237,189","25,717.00",10.84,10799
City of Lenoir - (TN),TN,52133,"801,083","81,014.00",10.11,10906
City of Lewisburg - (TN),TN,4627,"62,256","6,324.00",10.16,10960
City of Lexington - (TN),TN,17790,"220,351","24,141.00",10.96,10968
City of Memphis - (TN),TN,370693,"5,042,849","490,018.60",9.72,12293
City of Milan,TN,6757,"97,594","10,274.00",10.53,12532
City of Morristown - (TN),TN,12048,"151,914","16,968.00",11.17,12988
City of Mt Pleasant - (TN),TN,3295,"45,395","5,463.00",12.03,13039
City of Murfreesboro,TN,54433,"714,096","72,919.00",10.21,13119
City of Newbern,TN,1469,"19,286","1,834.00",9.51,13437
City of Newport,TN,18356,"237,049","25,883.00",10.92,13550
City of Oak Ridge,TN,13950,"151,469","17,021.00",11.24,13933
City of Paris - (TN),TN,15453,"210,981","21,440.00",10.16,14455
City of Pulaski - (TN),TN,11878,"159,944","19,278.00",12.05,15507
City of Ripley - (TN),TN,5287,"68,195","7,415.00",10.87,27222
City of Rockwood - (TN),TN,11553,"157,926","17,705.00",11.21,16223
City of Shelbyville - (TN),TN,8608,"109,254","11,489.00",10.52,17047
City of Smithville - (TN),TN,2081,"22,256","2,407.00",10.82,17452
City of Sparta,TN,2175,"23,771","2,552.00",10.74,17740
City of Springfield - (TN),TN,6914,"90,647","8,931.00",9.85,17829
City of Sweetwater,TN,7100,"103,793","10,813.00",10.42,18384
City of Trenton - (TN),TN,1932,"22,305","2,523.00",11.31,19149
City of Union City,TN,5176,"63,509","6,236.00",9.82,19430
City of Winchester - (TN),TN,4624,"61,791","6,604.00",10.69,20793
Columbia Power System,TN,23198,"311,141","33,762.00",10.85,3855
Cumberland Elec Member Corp,TN,83875,"1,395,577","160,286.00",11.49,4624
"Cumberland Valley Electric, Inc.",TN,72,748,86,11.5,4622
Duck River Elec Member Corp,TN,62999,"966,039","106,257.00",11.0,5399
Entergy Arkansas Inc,TN,2,18,1.8,10.0,814
"Forked Deer Electric Coop, Inc",TN,8320,"129,577","15,471.00",11.94,40236
Fort Loudoun Electric Coop,TN,27763,"419,819","46,316.00",11.03,6608
French Broad Elec Member Corp,TN,956,"7,823","1,053.90",13.47,6784
Gibson Electric Members Corp,TN,28746,"434,015","48,938.00",11.28,7174
Hickman-Fulton Counties RECC,TN,105,"1,548",183,11.82,40305
"Holston Electric Coop, Inc",TN,24854,"337,788","35,845.00",10.61,8764
Johnson City - (TN),TN,67069,"928,806","104,420.00",11.24,9777
Kentucky Utilities Co,TN,4,78,5.7,7.31,10171
Kingsport Power Co,TN,41710,"637,449","58,503.60",9.18,10331
Knoxville Utilities Board,TN,178043,"2,294,968","243,329.00",10.6,10421
Loudon Utilities Board,TN,10199,"147,291","15,242.00",10.35,11222
Maryville Utilities,TN,18269,"243,010","24,119.00",9.93,11789
McMinnville Electric System,TN,6381,"74,468","7,723.00",10.37,12186
Meriwether Lewis Electric Coop,TN,28805,"388,116","44,953.00",11.58,12330
Middle Tennessee E M C,TN,190810,"3,046,740","309,119.00",10.15,12470
"Mountain Electric Coop, Inc",TN,12413,"139,283","14,806.00",10.63,13027
Nashville Electric Service,TN,351899,"4,524,937","518,840.00",11.47,13216
Pickwick Electric Coop,TN,16400,"226,281","25,976.00",11.48,15016
Plateau Electric Cooperative,TN,13766,"151,443","18,298.00",12.08,15141
Powell Valley Electric Coop,TN,19527,"232,310","24,856.00",10.7,15293
Sequachee Valley Electric Coop,TN,29692,"396,300","45,785.00",11.55,16930
Sevier County Electric System,TN,34690,"469,136","48,167.00",10.27,16949
South Kentucky Rural  Electric Coop Corp,TN,158,"1,243",141.5,11.38,17564
Southwest Tennessee E M C,TN,42165,"644,201","73,188.00",11.36,17694
Tennessee Valley Electric Coop,TN,15898,"202,086","23,379.00",11.57,18643
Town of Erwin - (TN),TN,7590,"89,091","9,656.00",10.84,5961
Tri-County Elec Member Corp,TN,22342,"323,176","35,607.00",11.02,19162
Tri-State Electric Member Corp,TN,2641,"30,627","3,783.00",12.35,19154
Tullahoma Board-Public Utils,TN,8828,"116,946","11,629.00",9.94,19266
Upper Cumberland E M C,TN,41882,"570,061","63,253.00",11.1,19574
Volunteer Electric Coop,TN,96151,"1,311,200","143,629.00",10.95,19898
Weakley County Mun Elec Sys,TN,15676,"234,697","23,697.00",10.1,20228
4Change Energy Company,TX,58380,"921,196","85,449.00",9.28,57394
AP Holdings LLC,TX,4531,"189,783","17,770.00",9.36,56571
"Accent Energy Holdings, LLC",TX,9126,"139,592","14,425.00",10.33,54872
Agera Energy LLC,TX,343,"26,423","1,904.00",7.21,59472
Alliance Power Co LLC,TX,4185,"61,043","3,757.40",6.16,49818
"Ambit Energy Holdings, LLC",TX,412315,"5,236,680","477,496.90",9.12,56212
AmeriPower LLC,TX,830,"16,023","1,562.00",9.75,50156
American Light and Power,TX,5484,"54,162","4,658.70",8.6,56810
Amigo Energy,TX,124081,"1,877,366","184,329.90",9.82,49853
Austin Energy,TX,424554,"4,314,170","461,460.30",10.7,1015
Axon Power & Gas LLC,TX,3943,"56,222","3,889.70",6.92,59566
Bailey County Elec Coop Assn,TX,3395,"24,276","2,856.10",11.77,1169
"Bandera Electric Coop, Inc",TX,30087,"408,561","43,195.30",10.57,1175
"Bartlett Electric Coop, Inc",TX,10790,"153,436","16,497.60",10.75,1273
"Big Country Electric Coop, Inc",TX,8663,"76,818","10,072.00",13.11,1591
"Bluebonnet Electric Coop, Inc",TX,80588,"1,152,620","127,470.90",11.06,1892
"Bounce Energy, Inc.",TX,73878,"1,050,502","102,072.60",9.72,56292
"Bowie-Cass Electric Coop, Inc",TX,33168,"438,418","55,394.60",12.64,2049
Breeze LLC,TX,8350,"165,632","13,075.00",7.89,58954
"Brilliant Energy, LLC",TX,13848,"193,634","19,769.70",10.21,56255
Brooklet Energy Distribution,TX,8885,"99,742","7,294.00",7.31,58963
Brownsville Public Utilities Board,TX,43306,"576,488","59,392.00",10.3,2409
"Central Texas Elec Coop, Inc",TX,33124,"392,248","45,083.40",11.49,3282
Champion Energy Services,TX,118226,"1,847,216","189,845.00",10.28,54862
Cherokee County Elec Coop Assn,TX,18696,"240,005","30,391.00",12.66,3470
City of Boerne,TX,4113,"56,123","6,215.00",11.07,1913
City of Brenham - (TX),TX,5758,"75,566","7,174.30",9.49,2194
City of Bryan - (TX),TX,47685,"655,803","69,187.00",10.55,2442
City of College Station - (TX),TX,38352,"446,427","57,510.00",12.88,3940
City of Cuero - (TX),TX,2993,"42,684","4,303.40",10.08,4610
City of Denton - (TX),TX,46715,"553,519","61,797.30",11.16,5063
City of Floresville,TX,13144,"205,737","23,893.80",11.61,6427
City of Fredericksburg - (TX),TX,4520,"51,454","4,593.00",8.93,6758
City of Garland - (TX),TX,63443,"854,422","88,013.00",10.3,6958
City of Georgetown - (TX),TX,22795,"256,026","32,854.80",12.83,7129
City of Greenville - (TX),TX,14253,"145,098","17,170.90",11.83,7634
City of Jasper - (TX),TX,3438,"42,575","5,754.00",13.51,9664
City of Lampasas - (TX),TX,3402,"41,625","4,799.00",11.53,10656
City of Liberty - (TX),TX,2841,"38,686","4,304.20",11.13,10982
City of Lockhart - (TX),TX,4548,"59,426","6,172.30",10.39,11119
City of Lubbock - (TX),TX,90599,"952,096","112,718.30",11.84,11292
City of New Braunfels - (TX),TX,33866,"480,265","39,382.50",8.2,13418
City of San Antonio - (TX),TX,725458,"9,437,525","1,042,171.00",11.04,16604
City of San Marcos - (TX),TX,20653,"230,777","30,775.00",13.34,28978
City of Seguin - (TX),TX,7136,"84,325","9,020.00",10.7,16900
Clearview Electric Inc.,TX,10174,"86,308","17,075.00",19.78,58974
"Coleman County Elec Coop, Inc",TX,7029,"51,917","6,868.30",13.23,3938
Comanche County Elec Coop Assn,TX,6434,"90,275","9,773.00",10.83,4295
Concho Valley Elec Coop Inc,TX,10485,"103,400","13,268.30",12.83,4146
Conservice Energy,TX,27171,"201,758","26,512.40",13.14,61311
"Constellation NewEnergy, Inc",TX,108814,"1,759,020","179,229.00",10.19,13374
Cooke County Elec Coop Assn,TX,13941,"183,164","19,871.00",10.85,4262
"Deaf Smith Electric Coop, Inc",TX,5033,"47,882","4,950.30",10.34,4939
Deep East Texas Elec Coop Inc,TX,38326,"498,816","58,099.00",11.65,4975
"Denton County Elec Coop, Inc",TX,205450,"3,208,141","311,573.00",9.71,5078
Direct Energy Services,TX,577133,"7,130,155","832,488.60",11.68,54820
Discount Power - (TX),TX,75511,"1,257,021","75,394.60",6.0,56360
"ENGIE Retail, LLC",TX,1617,"28,233","1,214.60",4.3,57067
El Paso Electric Co,TX,282153,"2,140,542","277,424.00",12.96,5701
"Enertrade Electric, LLC",TX,506,"7,384",745.6,10.1,58859
Entergy Texas Inc.,TX,390771,"5,716,452","596,130.60",10.43,55937
Entrust Energy,TX,63636,"868,093","100,859.30",11.62,56775
"Everything Energy, LLC",TX,3216,"16,647","1,819.50",10.93,57426
Fannin County Electric Coop,TX,9633,"120,385","17,038.00",14.15,6173
"Farmers Electric Coop, Inc - (TX)",TX,51797,"795,979","98,934.00",12.43,6182
"Fayette Electric Coop, Inc",TX,12660,"139,029","17,410.00",12.52,6183
Fort Belknap Electric Coop Inc,TX,4347,"48,509","4,717.00",9.72,6611
"Frontier Utilities, Inc.",TX,46757,"581,636","65,239.30",11.22,56286
"Grayson-Collin Elec Coop, Inc",TX,47433,"732,667","90,321.00",12.33,7559
Green Mountain Energy Company,TX,355022,"4,066,041","464,608.20",11.43,7554
"Greenbelt Electric Coop, Inc",TX,3626,"24,251","3,733.00",15.39,7561
Griddy Energy LLC,TX,1333,"18,255","1,528.80",8.37,60915
Guadalupe Valley Elec Coop Inc,TX,74210,"1,050,077","117,875.50",11.23,7752
"HILCO Electric Cooperative, Inc.",TX,20762,"364,912","38,251.00",10.48,8620
Hamilton County Elec Coop Assn,TX,17265,"189,518","21,194.80",11.18,7979
Heart of Texas Electric Coop,TX,16157,"286,064","26,497.00",9.26,55982
Heritage Power LLC,TX,11,16,1.1,6.88,61264
"Hino Electric Holding Company, LP.",TX,3726,"53,805","4,984.00",9.26,8637
Houston County Elec Coop Inc,TX,19943,"192,384","25,309.20",13.16,8898
Hudson Energy Services,TX,28,491,76.5,15.58,55878
Infinite Electric LLC,TX,26009,"575,633","31,570.20",5.48,56738
Infuse Energy LLC,TX,13943,"152,932","14,241.90",9.31,59314
"Jackson Electric Coop, Inc - (TX)",TX,14149,"147,912","16,432.00",11.11,9590
"Jasper-Newton Elec Coop, Inc",TX,20242,"243,826","31,339.00",12.85,9668
Just Energy,TX,220576,"3,029,607","359,039.10",11.85,9949
Karnes Electric Coop Inc,TX,15880,"220,797","21,293.00",9.64,10009
Kerrville Public Utility Board,TX,18856,"245,965","21,423.50",8.71,28604
Lamar County Elec Coop Assn,TX,11697,"137,493","18,089.00",13.16,10649
"Lamb County Electric Coop, Inc",TX,2688,"32,117","3,967.00",12.35,10625
"Lea County Electric Coop, Inc",TX,1688,"23,082","1,848.00",8.01,10817
Liberty Power Corp.,TX,1169,"13,234","1,690.00",12.77,55781
"LifeEnergy, LLC",TX,4032,"22,514","1,850.40",8.22,60219
"Lighthouse Electric Coop, Inc",TX,3726,"23,950","3,638.00",15.19,11014
"Lyntegar Electric Coop, Inc",TX,7876,"89,690","9,882.00",11.02,11364
MP2 Energy LLC,TX,5912,"41,011","3,800.50",9.27,59808
Magic Valley Electric Coop Inc,TX,100715,"1,582,652","145,130.50",9.17,11501
"Medina Electric Coop, Inc",TX,26159,"330,651","39,499.60",11.95,12268
"Mega Energy, LP",TX,560,"8,085",725,8.97,56247
Mid-South Electric Coop Assn,TX,26457,"391,413","45,396.50",11.6,12452
"MidAmerican Energy Services, LLC",TX,2446,"37,219","3,169.80",8.52,59931
"Navarro County Elec Coop, Inc",TX,14915,"214,668","23,641.00",11.01,13332
"Navasota Valley Elec Coop, Inc",TX,17827,"190,694","21,465.70",11.26,16146
"NextEra Energy Services, LLC",TX,190115,"2,220,483","218,541.30",9.84,7279
"North American Power and Gas, LLC",TX,456,"6,961",730.3,10.49,58667
North Plains Electric Coop Inc,TX,3020,"31,966","4,127.00",12.91,13757
"Nueces Electric Coop, Inc",TX,36124,"526,716","55,651.20",10.57,13830
OnPAC Energy,TX,1003,"14,482","1,597.20",11.03,56260
Our Energy LLC,TX,8597,"129,707","11,180.00",8.62,56441
"Panola-Harrison Elec Coop, Inc",TX,8914,"115,248","11,642.00",10.1,14424
"Pedernales Electric Coop, Inc",TX,290157,"4,129,856","427,403.80",10.35,14626
Penstar Power,TX,4423,"53,141","6,403.50",12.05,49952
Pioneer Power LLC DBA Pioneer Energy,TX,8155,"161,855","6,809.10",4.21,59061
Pogo Energy LLC,TX,91,603,24.9,4.13,61265
Power Express,TX,5941,"78,965","5,192.10",6.58,59411
Pro Power Providers,TX,1170,"19,663","1,827.00",9.29,58805
Reliant Energy Retail Services LLC,TX,1266019,"17,501,588","2,123,806.50",12.13,15847
"Rio Grande Electric Coop, Inc",TX,8370,"84,511","12,539.40",14.84,16057
"Rita Blanca Electric Coop, Inc",TX,2716,"31,043","2,994.00",9.64,16063
"Rusk County Electric Coop, Inc",TX,18927,"252,993","30,549.40",12.08,16461
Sam Houston Electric Coop Inc,TX,68563,"904,412","114,066.00",12.61,16613
"San Bernard Electric Coop, Inc",TX,26061,"380,976","48,382.20",12.7,16638
San Patricio Electric Coop Inc,TX,8906,"117,622","13,633.40",11.59,16627
Smart Prepaid Electric,TX,1464,"17,270","1,984.70",11.49,56734
Source Power & Gas LLC,TX,32047,"361,496","28,452.20",7.87,57428
South Plains Electric Coop Inc,TX,39876,"508,758","50,830.90",9.99,17561
Southwest Arkansas E C C,TX,929,"19,162","2,031.20",10.6,17671
Southwest Rural Elec Assn Inc,TX,2299,"25,004","3,092.20",12.37,17681
"Southwest Texas Elec Coop, Inc",TX,5507,"33,606","4,525.00",13.46,17693
Southwestern Electric Coop Inc - (NM),TX,13,94,21,22.34,17715
Southwestern Electric Power Co,TX,150120,"2,023,172","196,343.40",9.7,17698
Southwestern Public Service Co,TX,210819,"2,311,646","256,800.30",11.11,17718
"Spark Energy, LP",TX,47403,"548,450","54,614.40",9.96,17710
Stream Energy,TX,297294,"4,388,154","442,668.10",10.09,50041
Summer Energy LLC,TX,17103,"229,148","22,865.00",9.98,57350
"Swisher Electric Coop, Inc",TX,3334,"22,202","2,896.90",13.05,18199
"TXU Energy Retail Co, LLC",TX,1415131,"19,424,430","2,449,809.00",12.61,19327
"Tara Energy, Inc",TX,34557,"477,829","46,040.30",9.64,18476
Taylor Electric Coop Inc - (TX),TX,14772,"172,237","27,569.00",16.01,27369
"Texpo Power, L.P.",TX,28095,"468,499","22,590.70",4.82,59933
"Tri-County Electric Coop, Inc",TX,181,"2,312",308.8,13.36,19159
"Tri-County Electric Coop, Inc",TX,91896,"1,653,060","145,787.10",8.82,19159
"TriEagle Energy, L.P.",TX,67021,"960,559","92,367.10",9.62,19126
Trinity Valley Elec Coop Inc,TX,63006,"932,058","112,250.60",12.04,18976
"US Retailers, LLC",TX,191795,"3,332,344","316,519.10",9.5,57132
United Electric Coop Service Inc - (TX),TX,69967,"1,066,718","100,272.50",9.4,19490
Upshur Rural Elec Coop Corp,TX,40240,"561,880","60,500.00",10.77,19579
V247 Power Corporation,TX,9246,"112,654","10,538.60",9.35,58263
Verde Energy USA,TX,18478,"233,644","26,837.70",11.49,59620
Veteran Energy LLC,TX,10277,"328,127","13,441.30",4.1,56961
"Victoria Electric Coop, Inc",TX,19608,"276,511","30,359.40",10.98,19806
Volt Electricity Provider LP,TX,6742,"94,906","3,702.00",3.9,59798
Weatherford Mun Utility System,TX,12500,"174,639","15,886.00",9.1,20230
"Wharton County Elec Coop, Inc",TX,5317,"68,467","7,875.00",11.5,20472
Wise Electric Coop Inc,TX,16445,"267,356","28,774.00",10.76,20948
"Wolverine Alternative Investments, LLC",TX,4683,"64,638","5,288.10",8.18,57459
"Wood County Electric Coop, Inc",TX,31331,"379,867","45,634.00",12.01,20927
"XOOM Energy Texas, LLC",TX,30615,"407,362","45,834.00",11.25,57486
"Young Energy, LLC",TX,20104,"224,092","31,551.20",14.08,56248
"Bridger Valley Elec Assn, Inc",UT,1776,"7,632","1,295.20",16.97,2215
Brigham City Corporation,UT,6873,"52,925","5,882.00",11.11,2220
City of Bountiful,UT,15511,"155,694","15,783.00",10.14,2010
City of Logan - (UT),UT,17647,"100,883","10,432.20",10.34,11135
City of Murray - (UT),UT,14756,"114,010","10,541.00",9.25,13137
City of Springville - (UT),UT,10436,"86,708","9,204.30",10.62,17845
City of St George,UT,24795,"286,378","26,815.90",9.36,17874
City of Washington - (UT),UT,6851,"75,303","7,472.60",9.92,20135
"Dixie Escalante R E A, Inc",UT,15752,"263,406","19,482.80",7.4,40165
"Empire Electric Assn, Inc",UT,908,"6,685","1,049.00",15.69,5862
"Garkane Energy Coop, Inc",UT,9936,"95,279","10,119.90",10.62,6957
Heber Light & Power Company,UT,10396,"91,820","9,360.00",10.19,8366
Hurricane City Power,UT,5783,"59,336","5,538.00",9.33,9128
Hyrum City Corporation,UT,2645,"19,810","2,039.00",10.29,9163
Kaysville City Corporation,UT,8768,"95,621","9,002.00",9.41,10063
Lehi City Corporation,UT,18073,"174,067","15,262.40",8.77,10879
Moon Lake Electric Assn Inc,UT,12553,"140,557","11,096.40",7.89,12866
"Mt Wheeler Power, Inc",UT,213,"2,071",158.7,7.66,13073
Navajo Tribal Utility Authority,UT,1666,"9,734","1,175.00",12.07,13314
PacifiCorp,UT,796194,"6,971,470","799,021.30",11.46,14354
Payson City Corporation,UT,5740,"46,943","5,650.00",12.04,14600
Provo City Corp,UT,32294,"238,841","24,806.00",10.39,15444
Raft River Rural Elec Coop Inc,UT,362,"4,373",408,9.33,22814
Spanish Fork City Corporation,UT,10770,"97,680","9,865.00",10.1,17732
Strawberry Electric Serv Dist,UT,3222,"40,622","4,332.50",10.67,18206
Wells Rural Electric Co,UT,498,"5,597",593,10.59,20332
A & N Electric Coop,VA,31309,"344,508","38,308.70",11.12,84
Appalachian Power Co,VA,451183,"5,845,299","668,736.00",11.44,733
BARC Electric Coop Inc,VA,11944,"121,043","15,561.80",12.86,1062
Bristol Virginia Utilities,VA,13628,"184,316","20,906.00",11.34,2248
Central Virginia Electric Coop,VA,32780,"469,674","58,586.00",12.47,3291
City of Danville - (VA),VA,37062,"438,937","59,990.00",13.67,4794
City of Franklin - (VA),VA,4605,"66,665","8,135.00",12.2,6715
City of Harrisonburg - (VA),VA,17682,"193,161","19,170.00",9.92,8198
City of Manassas - (VA),VA,13439,"166,962","16,886.00",10.11,11560
City of Martinsville - (VA),VA,6540,"71,436","8,634.00",12.09,11770
City of Radford - (VA),VA,6529,"67,054","8,259.00",12.32,15619
City of Salem - (VA),VA,10978,"121,989","14,213.80",11.65,16558
Community Electric Coop,VA,9213,"160,899","17,541.90",10.9,4117
Craig-Botetourt Electric Coop,VA,5900,"65,564","9,495.10",14.48,4471
Kentucky Utilities Co,VA,23509,"341,284","35,605.70",10.43,10171
Mecklenburg Electric Cooperative,VA,29342,"345,293","43,994.50",12.74,12260
"Northern Neck Elec Coop, Inc",VA,16545,"216,959","28,059.00",12.93,13762
Northern Virginia Elec Coop,VA,154523,"2,169,552","258,271.00",11.9,13640
Powell Valley Electric Coop,VA,6570,"83,845","8,909.00",10.63,15293
Prince George Electric Coop,VA,10301,"162,248","18,437.00",11.36,15410
Rappahannock Electric Coop,VA,149258,"2,168,898","238,734.00",11.01,40228
Shenandoah Valley Elec Coop,VA,78137,"1,081,644","119,077.90",11.01,17066
"Southside Electric Coop, Inc",VA,53757,"712,924","91,498.00",12.83,21244
Town of Bedford - (VA),VA,5730,"78,494","10,280.00",13.1,1456
Town of Culpeper- (VA),VA,4516,"48,211","6,086.00",12.62,4619
Town of Front Royal,VA,6675,"85,081","9,302.00",10.93,6803
Virginia Electric & Power Co,VA,2196466,"28,049,838","3,232,604.00",11.52,19876
Virginia Tech Electric Service,VA,5294,"51,900","6,040.70",11.64,19882
City of Burlington Electric - (VT),VT,16957,"79,794","12,645.30",15.85,2548
Green Mountain Power Corp,VT,221420,"1,466,486","258,219.00",17.61,7601
Town of Stowe- (VT),VT,3390,"22,901","3,987.60",17.41,27316
"Vermont Electric Cooperative, Inc.",VT,34519,"215,435","41,467.30",19.25,19791
Village of Ludlow - (VT),VT,3034,"15,978","2,139.00",13.39,11305
Village of Lyndonville - (VT),VT,4819,"30,540","4,850.40",15.88,11359
Village of Morrisville - (VT),VT,3462,"20,768","3,272.00",15.76,12989
Village of Northfield - (VT),VT,1604,"9,863","1,360.60",13.79,13789
Village of Swanton - (VT),VT,3263,"25,023","3,300.00",13.19,18371
Washington Electric Coop - (VT),VT,10418,"60,072","12,792.00",21.29,20151
Avista Corp,WA,224696,"2,596,776","258,879.10",9.97,20169
Benton Rural Electric Assn,WA,11524,"228,300","19,626.00",8.6,1625
"Big Bend Electric Coop, Inc",WA,4910,"113,164","8,325.00",7.36,1723
City of Blaine - (WA),WA,2771,"26,619","1,947.00",7.31,1818
City of Centralia - (WA),WA,8580,"121,785","11,320.30",9.3,3295
City of Cheney - (WA),WA,5268,"60,188","4,524.30",7.52,3420
City of Ellensburg - (WA),WA,8136,"84,668","7,481.00",8.84,6149
City of Port Angeles - (WA),WA,9797,"130,970","12,547.00",9.58,15231
City of Richland - (WA),WA,22629,"375,974","31,647.00",8.42,15979
City of Seattle - (WA),WA,403888,"3,139,835","331,251.00",10.55,16868
City of Tacoma - (WA),WA,157813,"1,938,643","169,558.10",8.75,18429
Clearwater Power Company,WA,850,"10,931","1,205.90",11.03,3739
"Columbia Rural Elec Assn, Inc",WA,3597,"55,665","6,582.90",11.83,4041
Elmhurst Mutual Power & Light Co,WA,14433,"237,584","16,633.00",7.0,5832
Inland Power & Light Company,WA,35592,"653,962","51,662.50",7.9,8699
Kootenai Electric Coop Inc,WA,74,"2,410",209.8,8.71,10454
Lakeview Light & Power,WA,7921,"113,250","10,255.00",9.06,10627
Modern Electric Water Company,WA,8386,"101,215","6,198.00",6.12,12744
"Northern Lights, Inc",WA,15,117,15,12.82,13758
"Ohop Mutual Light Company, Inc",WA,4216,"80,547","6,868.00",8.53,14012
"Okanogan County Elec Coop, Inc",WA,3101,"41,241","4,352.00",10.55,14074
Orcas Power & Light Coop,WA,13143,"153,357","20,483.00",13.36,14170
PUD 1 of Snohomish County,WA,314934,"3,642,115","362,907.00",9.96,17470
