entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
Fort Pierce Utilities Authority,FL,23180,"237,125","28,626.00",12.07,6616
Gainesville Regional Utilities,FL,86100,"806,074","109,709.00",13.61,6909
"Glades Electric Coop, Inc",FL,12527,"153,590","22,568.00",14.69,7264
"Gulf Coast Electric Coop, Inc",FL,19274,"255,942","31,783.30",12.42,7785
Gulf Power Co,FL,401793,"5,229,276","719,963.20",13.77,7801
Havana Power & Light Company,FL,1140,"12,929","1,493.00",11.55,8276
JEA,FL,407957,"5,195,715","593,620.90",11.43,9617
Kissimmee Utility Authority,FL,61988,"827,838","97,126.00",11.73,10376
"Lee County Electric Coop, Inc",FL,195204,"2,635,807","287,185.40",10.9,10857
New Smyrna Beach City of,FL,24229,"268,265","28,025.00",10.45,13485
Okefenoke Rural El Member Corp,FL,9978,"145,662","18,201.60",12.5,31833
Orlando Utilities Comm,FL,206989,"2,473,322","279,940.90",11.32,14610
"Peace River Electric Coop, Inc",FL,33895,"475,941","61,513.00",12.92,14606
Reedy Creek Improvement Dist,FL,9,137,14,10.22,15776
"Sumter Electric Coop, Inc",FL,182456,"2,210,499","262,924.00",11.89,18304
Suwannee Valley Elec Coop Inc,FL,22675,"285,767","36,382.00",12.73,18360
"Talquin Electric Coop, Inc",FL,49871,"646,531","85,341.00",13.2,18449
Tampa Electric Co,FL,659393,"9,029,286","1,005,644.80",11.14,18454
"Tri-County Electric Coop, Inc",FL,16391,"162,988","23,504.70",14.42,19161
"West Florida El Coop Assn, Inc",FL,25169,"303,880","40,902.00",13.46,20371
Withlacoochee River Elec Coop,FL,192997,"2,663,325","304,774.00",11.44,20885
Albany Water Gas & Light Comm,GA,31473,"337,765","36,596.00",10.83,230
Altamaha Electric Member Corp,GA,18537,"228,658","31,461.40",13.76,407
Amicalola Electric Member Corp,GA,43564,"588,113","68,442.40",11.64,562
Blue Ridge Mountain EMC - (GA),GA,26940,"267,359","34,728.00",12.99,1891
Canoochee Electric Member Corp,GA,20636,"282,349","35,940.80",12.73,2903
